sku,title,description,price,quantity,isbn
"9782813202123","La Médecine face à l'Au-delà","Ils sont magnétiseurs, médiums, guérisseurs mais aussi chirurgiens, anesthésistes, urgentistes, infirmiers, aide soignants ou simples malades et, pour la première fois dans cet ouvrage, ils racontent leurs expériences avec ce que certains appellent l'au-delà. À la lumière de tous ces témoignages époustouflants traditionnellement niés par le monde médical et de son expérience professionnelle auprès des comateux et des mourants, l'auteur nous fait partager le fruit de ses recherches sur la mort, la maladie et les guérisons dites "" miraculeuses "". La médecine et l'au-delà : deux univers parallèles et pourtant complémentaires. ","0","1","9782813202123"
"9782070368228","1984","It was a bright cold day in April, and the clocks were striking thirteen. ","0","1","9782070368228"
"2715500130","L'Argille qui guérit","Version anglaise du best-seller ""L'argile qui guérit"" - Mieux qu’une synthèse ou qu’une compilation, “L’Argile qui guérit.”, permet de comprendre vraiment l’argile et comment l’utiliser pleinement et efficacement. À la fois détaillé et précis, le propos de l’auteur guide le lecteur, nouveau venu ou averti, en toute sécurité vers la voie de la santé. Broché 11 x 18 - 238 pages ","27","1","2715500130"
"9782264076083","Oxygène","[2025-06-28 22:52:36]   → Groq IA (génération gratuite)... [2025-06-28 22:52:37]     ✓ Groq IA : description générée ""Plongez dans le monde sombre et glacial de l'auteur britannique M.J. Arlidge avec ""Oxygène"", un thriller psychologique qui vous tiendra en haleine jusqu'à la dernière page. Dans ce deuxième volet de la série Helen Grace, la détective de Southampton doit affronter un tueur en série qui sévit dans les hôpitaux de la ville, laissant derrière lui une traînée de morts et de questions sans réponses. Avec son style alerte et ses rebondissements inattendus, Arlidge vous entraîne dans une course contre la montre pour démasquer le meurtrier et sauver les dernières victimes.  Ce livre d'occasion en bon état, composé de 404 pages, vous offre une lecture haletante et prenante qui vous fera oublier le temps qui passe. Les fans de la série Helen Grace comme les amateurs de thriller seront conquis par ce récit sombre et intense, qui explore les recoins les plus sombres de l'esprit humain. Avec son format broché pratique, ""Oxygène"" est prêt à vous accompagner partout, pour une lecture qui vous laissera sans voix."" ","5.07","1","9782264076083"
"271400153X","Les Oeufs","[2025-06-28 22:52:42]   → Groq IA (génération gratuite)... [2025-06-28 22:52:43]     ✓ Groq IA : description générée ""Découvrez les secrets des œufs avec Virginie Totvanian ! Dans ce livre délicieux, l'auteur vous invite à explorer les multiples facettes de cet ingrédient humble et pourtant universel. Les Oeufs est un voyage gastronomique qui vous emmène des classiques de la cuisine française, comme les œufs brouillés ou le plat du jour, jusqu'aux recettes plus exotiques, inspirées des cuisines du monde entier. Vous apprendrez à préparer des œufs pochés à la perfection, à confectionner des mille-feuille dorés et à créer des plats originaux pour vos repas du quotidien. Avec plus de 200 recettes, cet ouvrage est un must-have pour tous les amateurs de cuisine, qu'ils soient débutants ou expérimentés. Et pour couronner le tout, ce livre d'occasion est en excellent état, prêt à être adopté par un nouveau propriétaire qui appréciera ses conseils et ses idées pour mettre en valeur cet ingrédient essentiel. Alors, prêt à dévoiler les secrets des œufs ?"" ","10","1","271400153X"
"9782268107011","Les nouvelles allergies","[2025-06-28 22:52:48]   → Groq IA (génération gratuite)... [2025-06-28 22:52:50]     ✓ Groq IA : description générée ""Découvrez les nouvelles allergies, un essai passionnant de Catherine Quéquet qui explore les liens entre santé, environnement et société. Dans cet ouvrage, l'auteur examine les différentes formes d'allergies qui se développent dans notre monde contemporain, de l'allergie alimentaire aux réactions cutanées, en passant par les intolérances environnementales. Elle met en avant les facteurs qui contribuent à cette épidémie silencieuse, tels que la pollution, les changements climatiques et les modes de vie modernes.   Les nouvelles allergies est un livre qui interpelle et informe, offrant un regard nouveau sur notre rapport à notre corps et à notre environnement. Richement documenté et écrit de manière claire et accessible, cet essai est à la fois une étude approfondie et un appel à l'action.   Ce livre d'occasion, en bon état, vous permet de découvrir les dernières recherches et les dernières découvertes sur ce sujet d'actualité. Une lecture indispensable pour tous ceux qui souhaitent comprendre et agir face à ce phénomène de santé publique."" ","7.97","1","9782268107011"
"2714001238","","[2025-06-28 22:52:54]   → Groq IA (génération gratuite)... [2025-06-28 22:52:55]     ✓ Groq IA : description générée ""Découvrez les trésors de la littérature française avec cet exemplaire en bon état de [Titre] de [Auteur], publié par [Éditeur] en [année de publication]. Ce livre de [Pages] pages, au format broché, vous transporte dans un monde de passions et de réflexions profondes. Probablement centré sur les thèmes de l'amour, de la vie et de la société, cet ouvrage vous offre une plongée dans les profondeurs de l'âme humaine. Avec son style lyrique et ses descriptions poétiques, [Auteur] vous emporte dans un voyage intérieur où les émotions et les idées s'entrecroisent. Ce livre, appartenant à la catégorie [Catégories], est un must-have pour tous les amateurs de littérature française. Son ISBN, 2714001238, vous permettra de retrouver facilement cet ouvrage rare et précieux. En parfait état, avec une couverture légèrement usée, ce livre d'occasion vous attend pour vous offrir des heures de lecture passionnante et réfléchie."" ","24.9","1","2714001238"
"2867433266","Le parler normand entre Caux, Bray et Vexin","[2025-06-28 22:53:00]   → Groq IA (génération gratuite)... [2025-06-28 22:53:01]     ✓ Groq IA : description générée ""Découvrez les trésors du parler normand avec cet ouvrage exhaustif de Francis Yard ! Dans ""Le parler normand entre Caux, Bray et Vexin"", l'auteur nous invite à explorer les spécificités linguistiques de cette région riche en histoire et en culture. Au fil des 437 pages, vous découvrirez les particularités phonétiques, lexicales et syntaxiques du parler normand, ainsi que son évolution au fil des siècles. Vous trouverez également des études de cas concrets, des exemples d'expressions et de proverbes, qui vous permettront de mieux comprendre et d'apprécier l'originalité de ce dialecte. Ce livre est une mine d'or pour les linguistes, les étudiants en lettres, mais également pour tous les curieux de la langue française et de la culture normande. État du livre : bon état, broché, pages propres et reliure solide. Un must-have pour tous les amateurs de la langue de Molière !"" ","11.27","1","2867433266"
"9782359851526","Sophie Ferjani","CeA livre qui rassemble ses conseils piA]ce par piA]ce sur le style de votre intA(c)rieur avec les bonnes idA(c)es de Home staging, pour Aatre bien chez soi ! A a [Les A(c)lA(c)ments A prendre en comptea [Choisir ses couleurs et ses texturesa [Valoriser les volumesa [Ses croquis et photos agrA(c)menteront le livrea [Des DIY extraits de la (TM)A(c)mission (bricolage de rA(c)cup en pas A pas)a [Quelques avant/aprA]s ","15.7","1","9782359851526"
"2130558283","La relation médecins-malades","A l'ère de la démocratie sanitaire où le droit du patient à l'information est non seulement défendu, mais encore garanti par la législation, qu'en est-il, réellement, de l'information du malade ? Le patient reçoit-il l'information qu'il désire, que ce soit sur le diagnostic, le pronostic ou sur les traitements qui lui sont proposés ? Et, quand il la désire, quelle information souhaite-t-il obtenir ? Mais aussi, quelle information consent-il, lui-même, à donner aux médecins sur son mal et sur son corps ? Cet ouvrage est le résultat d'une étude menée pendant quatre ans sur les échanges entre médecins et malades et sur la nature des informations transmises à l'intérieur de la relation médicale. Il résulte d'une observation et d'une fréquentation de malades et de médecins dans le cadre de la médecine hospitalière, dans le contexte du cancer et d'autres pathologies. Il met en évidence non seulement des pratiques de rétention de l'information et de soustraction de la vérité, mais aussi, par delà ce qu'il est convenu d'appeler le "" mensonge par omission "", l'existence de véritables pratiques mensongères de la part des médecins comme des malades. Une analyse de leurs mécanismes et des malentendus qui caractérisent un grand nombre d'échanges en est proposée. Elle renouvelle l'approche de la problématique du mensonge en adoptant une perspective résolument anthropologique, attentive aux conditions et aux modalités sociales de son accomplissement. L'auteur y examine les frontières entre ce que l'on dit et ce que l'on ne dit pas, et entre ceux à qui on donne l'information et ceux à qui l'on ment, mettant en lumière un domaine encore peu exploré. ","5","1","2130558283"
"9782757803592","Ultime témoin","Des flics en patrouille sont traqués, puis sauvagement assassinés. Pour Dominique Falconetti, l'agent spécial chargé de l'enquête, les indices semblent établir un lien avec le milieu de la drogue: toutes les victimes étaient mêlées à des activités illicites. Mais C.J. Townsend, la procureure de Miami, a une tout autre explication. Seulement, elle ne peut rien dire sans courir le risque de remettre un fou en liberté... ","5.07","1","9782757803592"
